gender,confirmed_cases,death_cases,date,date_dt
female,16675658,17453.0,2023-04-20,2023-04-20
male,14364205,16948.0,2023-04-20,2023-04-20
female,16667568,17448.0,2023-04-19,2023-04-19
male,14358201,16944.0,2023-04-19,2023-04-19
female,16658217,17446.0,2023-04-18,2023-04-18
male,14351044,16940.0,2023-04-18,2023-04-18
female,16649767,17441.0,2023-04-17,2023-04-17
male,14344321,16935.0,2023-04-17,2023-04-17
female,16641294,17437.0,2023-04-15,2023-04-15
male,14337660,16931.0,2023-04-15,2023-04-15
female,16634861,17437.0,2023-04-14,2023-04-14
male,14332831,16929.0,2023-04-14,2023-04-14
female,16628154,17434.0,2023-04-13,2023-04-13
male,14327872,16927.0,2023-04-13,2023-04-13
female,16621444,17432.0,2023-04-12,2023-04-12
male,14322986,16924.0,2023-04-12,2023-04-12
female,16613379,17426.0,2023-04-11,2023-04-11
male,14317125,16916.0,2023-04-11,2023-04-11
female,16606292,17423.0,2023-04-10,2023-04-10
male,14311768,16909.0,2023-04-10,2023-04-10
female,16598567,17419.0,2023-04-08,2023-04-08
male,14305935,16903.0,2023-04-08,2023-04-08
female,16592733,17417.0,2023-04-07,2023-04-07
male,14301826,16901.0,2023-04-07,2023-04-07
female,16586566,17415.0,2023-04-06,2023-04-06
male,14297258,16894.0,2023-04-06,2023-04-06
female,16579675,17408.0,2023-04-05,2023-04-05
male,14292065,16888.0,2023-04-05,2023-04-05
female,16571458,17405.0,2023-04-04,2023-04-04
male,14285817,16884.0,2023-04-04,2023-04-04
female,16563894,17401.0,2023-04-03,2023-04-03
male,14280006,16880.0,2023-04-03,2023-04-03
female,16555949,17394.0,2023-04-01,2023-04-01
male,14273878,16876.0,2023-04-01,2023-04-01
female,16550372,17391.0,2023-03-31,2023-03-31
male,14269758,16874.0,2023-03-31,2023-03-31
female,16544455,17384.0,2023-03-30,2023-03-30
male,14265307,16871.0,2023-03-30,2023-03-30
female,16538049,17380.0,2023-03-29,2023-03-29
male,14260674,16865.0,2023-03-29,2023-03-29
female,16530598,17369.0,2023-03-28,2023-03-28
male,14254991,16862.0,2023-03-28,2023-03-28
female,16523860,17365.0,2023-03-27,2023-03-27
male,14249600,16858.0,2023-03-27,2023-03-27
female,16516201,17361.0,2023-03-25,2023-03-25
male,14243694,16856.0,2023-03-25,2023-03-25
female,16510392,17358.0,2023-03-24,2023-03-24
male,14239348,16853.0,2023-03-24,2023-03-24
female,16504636,17350.0,2023-03-23,2023-03-23
male,14234821,16851.0,2023-03-23,2023-03-23
female,16498298,17344.0,2023-03-22,2023-03-22
male,14229759,16843.0,2023-03-22,2023-03-22
female,16490964,17341.0,2023-03-21,2023-03-21
male,14224012,16837.0,2023-03-21,2023-03-21
female,16484399,17336.0,2023-03-20,2023-03-20
male,14218561,16835.0,2023-03-20,2023-03-20
female,16482227,0.0,2023-03-20,2023-03-20
male,14216803,0.0,2023-03-20,2023-03-20
female,16477251,17329.0,2023-03-18,2023-03-18
male,14212972,16830.0,2023-03-18,2023-03-18
female,16472168,17327.0,2023-03-17,2023-03-17
male,14209060,16828.0,2023-03-17,2023-03-17
female,16467065,17326.0,2023-03-16,2023-03-16
male,14205098,16822.0,2023-03-16,2023-03-16
female,16461479,17320.0,2023-03-15,2023-03-15
male,14200750,16811.0,2023-03-15,2023-03-15
female,16454863,17316.0,2023-03-14,2023-03-14
male,14195467,16805.0,2023-03-14,2023-03-14
female,16448579,17311.0,2023-03-13,2023-03-13
male,14190350,16804.0,2023-03-13,2023-03-13
female,16446302,0.0,2023-03-13,2023-03-13
male,14188429,0.0,2023-03-13,2023-03-13
female,16441034,17304.0,2023-03-11,2023-03-11
male,14184355,16792.0,2023-03-11,2023-03-11
female,16435596,17301.0,2023-03-10,2023-03-10
male,14179926,16792.0,2023-03-10,2023-03-10
