age,total_cases,death_cases,current_date,active_cases,re_rate,re_cases
10s,515,0,2020-04-02,0.0,0.0,0.0
10s,544,0,2020-04-07,29.0,5.330882352941177,1.5459558823529411
10s,548,0,2020-04-08,4.0,0.7299270072992701,0.029197080291970802
10s,548,0,2020-04-08,0.0,0.0,0.0
10s,548,0,2020-04-08,0.0,0.0,0.0
10s,548,0,2020-04-08,0.0,0.0,0.0
10s,548,0,2020-04-08,0.0,0.0,0.0
10s,552,0,2020-04-09,4.0,0.7246376811594203,0.028985507246376812
10s,553,0,2020-04-10,1.0,0.18083182640144665,0.0018083182640144665
10s,558,0,2020-04-11,5.0,0.8960573476702508,0.044802867383512544
10s,561,0,2020-04-12,3.0,0.53475935828877,0.0160427807486631
10s,562,0,2020-04-13,1.0,0.1779359430604982,0.0017793594306049821
10s,565,0,2020-04-14,3.0,0.5309734513274336,0.01592920353982301
10s,569,0,2020-04-15,4.0,0.7029876977152899,0.028119507908611598
10s,572,0,2020-04-16,3.0,0.5244755244755245,0.015734265734265732
10s,572,0,2020-04-16,0.0,0.0,0.0
10s,576,0,2020-04-17,4.0,0.6944444444444444,0.027777777777777776
10s,576,0,2020-04-18,0.0,0.0,0.0
10s,578,0,2020-04-19,2.0,0.34602076124567477,0.006920415224913495
10s,578,0,2020-04-19,0.0,0.0,0.0
10s,581,0,2020-04-20,3.0,0.5163511187607573,0.01549053356282272
10s,582,0,2020-04-21,1.0,0.1718213058419244,0.001718213058419244
10s,583,0,2020-04-22,1.0,0.17152658662092624,0.0017152658662092624
10s,584,0,2020-04-23,1.0,0.17123287671232876,0.0017123287671232876
10s,585,0,2020-04-24,1.0,0.17094017094017094,0.0017094017094017094
10s,586,0,2020-04-25,1.0,0.17064846416382254,0.0017064846416382255
10s,586,0,2020-04-26,0.0,0.0,0.0
10s,588,0,2020-04-27,2.0,0.3401360544217687,0.006802721088435374
10s,590,0,2020-04-28,2.0,0.3389830508474576,0.006779661016949152
10s,590,0,2020-04-29,0.0,0.0,0.0
10s,590,0,2020-04-30,0.0,0.0,0.0
10s,590,0,2020-05-01,0.0,0.0,0.0
10s,590,0,2020-05-02,0.0,0.0,0.0
10s,591,0,2020-05-03,1.0,0.1692047377326565,0.001692047377326565
10s,591,0,2020-05-04,0.0,0.0,0.0
10s,591,0,2020-05-05,0.0,0.0,0.0
10s,591,0,2020-05-06,0.0,0.0,0.0
10s,592,0,2020-05-07,1.0,0.16891891891891891,0.001689189189189189
10s,592,0,2020-05-08,0.0,0.0,0.0
10s,594,0,2020-05-09,2.0,0.33670033670033667,0.006734006734006734
10s,597,0,2020-05-10,3.0,0.5025125628140703,0.01507537688442211
10s,598,0,2020-05-11,1.0,0.16722408026755853,0.0016722408026755853
10s,602,0,2020-05-12,4.0,0.6644518272425249,0.026578073089700997
10s,603,0,2020-05-13,1.0,0.16583747927031509,0.001658374792703151
10s,614,0,2020-05-14,11.0,1.7915309446254073,0.19706840390879482
10s,617,0,2020-05-15,3.0,0.48622366288492713,0.014586709886547812
10s,619,0,2020-05-16,2.0,0.32310177705977383,0.006462035541195477
10s,620,0,2020-05-17,1.0,0.16129032258064516,0.0016129032258064516
10s,621,0,2020-05-18,1.0,0.1610305958132045,0.001610305958132045
10s,621,0,2020-05-19,0.0,0.0,0.0
10s,627,0,2020-05-20,6.0,0.9569377990430622,0.057416267942583726
10s,631,0,2020-05-21,4.0,0.6339144215530903,0.02535657686212361
10s,634,0,2020-05-23,3.0,0.47318611987381703,0.014195583596214511
10s,636,0,2020-05-24,2.0,0.3144654088050315,0.00628930817610063
10s,637,0,2020-05-25,1.0,0.15698587127158556,0.0015698587127158557
10s,638,0,2020-05-26,1.0,0.1567398119122257,0.001567398119122257
10s,640,0,2020-05-27,2.0,0.3125,0.00625
10s,644,0,2020-05-28,4.0,0.6211180124223602,0.024844720496894408
10s,650,0,2020-05-29,6.0,0.9230769230769231,0.055384615384615386
10s,655,0,2020-05-30,5.0,0.7633587786259541,0.038167938931297704
10s,655,0,2020-05-31,0.0,0.0,0.0
10s,659,0,2020-06-02,4.0,0.6069802731411229,0.024279210925644917
10s,661,0,2020-06-03,2.0,0.30257186081694404,0.006051437216338881
10s,661,0,2020-06-04,0.0,0.0,0.0
10s,663,0,2020-06-05,2.0,0.301659125188537,0.00603318250377074
10s,664,0,2020-06-06,1.0,0.15060240963855423,0.0015060240963855422
10s,670,0,2020-06-07,6.0,0.8955223880597015,0.053731343283582096
10s,672,0,2020-06-08,2.0,0.2976190476190476,0.005952380952380952
10s,672,0,2020-06-09,0.0,0.0,0.0
10s,674,0,2020-06-10,2.0,0.2967359050445104,0.005934718100890208
10s,677,0,2020-06-11,3.0,0.4431314623338257,0.013293943870014773
10s,677,0,2020-06-12,0.0,0.0,0.0
10s,681,0,2020-06-13,4.0,0.5873715124816447,0.023494860499265788
10s,681,0,2020-06-14,0.0,0.0,0.0
10s,682,0,2020-06-16,1.0,0.1466275659824047,0.001466275659824047
10s,683,0,2020-06-17,1.0,0.14641288433382138,0.0014641288433382138
10s,684,0,2020-06-18,1.0,0.14619883040935672,0.0014619883040935672
10s,686,0,2020-06-19,2.0,0.2915451895043732,0.0058309037900874635
10s,690,0,2020-06-20,4.0,0.5797101449275363,0.02318840579710145
10s,691,0,2020-06-21,1.0,0.1447178002894356,0.001447178002894356
10s,692,0,2020-06-22,1.0,0.1445086705202312,0.001445086705202312
10s,692,0,2020-06-23,0.0,0.0,0.0
10s,693,0,2020-06-24,1.0,0.1443001443001443,0.001443001443001443
10s,696,0,2020-06-25,3.0,0.43103448275862066,0.01293103448275862
10s,698,0,2020-06-26,2.0,0.28653295128939826,0.0057306590257879654
10s,700,0,2020-06-27,2.0,0.2857142857142857,0.005714285714285714
10s,703,0,2020-06-28,3.0,0.42674253200568996,0.0128022759601707
10s,704,0,2020-06-29,1.0,0.14204545454545456,0.0014204545454545455
10s,708,0,2020-06-30,4.0,0.5649717514124294,0.022598870056497175
10s,708,0,2020-07-01,0.0,0.0,0.0
10s,712,0,2020-07-02,4.0,0.5617977528089888,0.022471910112359553
10s,722,0,2020-07-03,10.0,1.3850415512465373,0.13850415512465372
10s,724,0,2020-07-04,2.0,0.2762430939226519,0.005524861878453038
10s,727,0,2020-07-05,3.0,0.41265474552957354,0.012379642365887207
10s,728,0,2020-07-06,1.0,0.13736263736263737,0.0013736263736263737
10s,730,0,2020-07-07,2.0,0.273972602739726,0.005479452054794521
10s,733,0,2020-07-08,3.0,0.4092769440654843,0.012278308321964531
10s,737,0,2020-07-09,4.0,0.5427408412483039,0.021709633649932156
10s,740,0,2020-07-10,3.0,0.40540540540540543,0.012162162162162163
10s,740,0,2020-07-11,0.0,0.0,0.0
10s,746,0,2020-07-12,6.0,0.8042895442359249,0.04825737265415549
10s,750,0,2020-07-13,4.0,0.5333333333333333,0.021333333333333333
10s,752,0,2020-07-14,2.0,0.26595744680851063,0.005319148936170213
10s,753,0,2020-07-15,1.0,0.13280212483399734,0.0013280212483399733
10s,752,0,2020-07-16,-1.0,-0.13297872340425532,0.0013297872340425532
10s,756,0,2020-07-17,4.0,0.5291005291005291,0.021164021164021163
10s,760,0,2020-07-18,4.0,0.5263157894736842,0.021052631578947368
10s,762,0,2020-07-19,2.0,0.26246719160104987,0.005249343832020997
10s,764,0,2020-07-20,2.0,0.2617801047120419,0.005235602094240838
10s,765,0,2020-07-21,1.0,0.130718954248366,0.0013071895424836598
10s,772,0,2020-07-22,7.0,0.9067357512953367,0.06347150259067356
10s,776,0,2020-07-23,4.0,0.5154639175257731,0.020618556701030924
10s,777,0,2020-07-24,1.0,0.1287001287001287,0.001287001287001287
10s,778,0,2020-07-25,1.0,0.12853470437017994,0.0012853470437017994
10s,778,0,2020-07-26,0.0,0.0,0.0
10s,779,0,2020-07-27,1.0,0.12836970474967907,0.0012836970474967907
10s,781,0,2020-07-28,2.0,0.2560819462227913,0.005121638924455826
10s,782,0,2020-07-29,1.0,0.1278772378516624,0.0012787723785166241
10s,782,0,2020-07-30,0.0,0.0,0.0
10s,782,0,2020-07-31,0.0,0.0,0.0
10s,782,0,2020-08-01,0.0,0.0,0.0
10s,782,0,2020-08-02,0.0,0.0,0.0
10s,785,0,2020-08-03,3.0,0.3821656050955414,0.011464968152866245
10s,790,0,2020-08-04,5.0,0.6329113924050633,0.03164556962025317
10s,793,0,2020-08-05,3.0,0.37831021437578816,0.011349306431273645
10s,797,0,2020-08-06,4.0,0.5018820577164366,0.020075282308657464
10s,801,0,2020-08-07,4.0,0.4993757802746567,0.019975031210986267
10s,802,0,2020-08-08,1.0,0.12468827930174563,0.0012468827930174563
10s,803,0,2020-08-09,1.0,0.12453300124533001,0.0012453300124533001
10s,803,0,2020-08-10,0.0,0.0,0.0
10s,803,0,2020-08-11,0.0,0.0,0.0
10s,810,0,2020-08-12,7.0,0.8641975308641975,0.06049382716049382
10s,816,0,2020-08-13,6.0,0.7352941176470588,0.044117647058823525
10s,826,0,2020-08-14,10.0,1.2106537530266344,0.12106537530266344
10s,836,0,2020-08-15,10.0,1.1961722488038278,0.11961722488038279
10s,859,0,2020-08-16,23.0,2.6775320139697323,0.6158323632130385
10s,872,0,2020-08-17,13.0,1.4908256880733946,0.19380733944954132
10s,890,0,2020-08-18,18.0,2.0224719101123596,0.3640449438202247
10s,907,0,2020-08-19,17.0,1.8743109151047408,0.3186328555678059
10s,942,0,2020-08-20,35.0,3.715498938428875,1.3004246284501062
10s,961,0,2020-08-21,19.0,1.9771071800208115,0.3756503642039542
10s,980,0,2020-08-22,19.0,1.9387755102040816,0.36836734693877554
10s,1015,0,2020-08-23,35.0,3.4482758620689653,1.206896551724138
10s,1028,0,2020-08-24,13.0,1.264591439688716,0.16439688715953304
10s,1047,0,2020-08-25,19.0,1.8147086914995225,0.3447946513849093
10s,1060,0,2020-08-26,13.0,1.2264150943396228,0.15943396226415096
10s,1087,0,2020-08-27,27.0,2.483900643974241,0.670653173873045
10s,1104,0,2020-08-28,17.0,1.5398550724637683,0.26177536231884063
10s,1122,0,2020-08-29,18.0,1.6042780748663104,0.2887700534759359
10s,1134,0,2020-08-30,12.0,1.0582010582010581,0.12698412698412698
10s,1145,0,2020-08-31,11.0,0.9606986899563319,0.10567685589519651
10s,1162,0,2020-09-01,17.0,1.4629948364888123,0.24870912220309807
10s,1174,0,2020-09-02,12.0,1.0221465076660987,0.12265758091993184
10s,1181,0,2020-09-03,7.0,0.5927180355630821,0.04149026248941575
10s,1188,0,2020-09-04,7.0,0.5892255892255892,0.041245791245791245
10s,1194,0,2020-09-05,6.0,0.5025125628140703,0.03015075376884422
10s,1197,0,2020-09-06,3.0,0.2506265664160401,0.007518796992481203
10s,1202,0,2020-09-07,5.0,0.4159733777038269,0.020798668885191347
10s,1210,0,2020-09-08,8.0,0.6611570247933884,0.05289256198347107
10s,1218,0,2020-09-09,8.0,0.6568144499178982,0.052545155993431854
10s,1222,0,2020-09-10,4.0,0.32733224222585927,0.01309328968903437
10s,1225,0,2020-09-11,3.0,0.24489795918367346,0.007346938775510204
10s,1230,0,2020-09-12,5.0,0.40650406504065045,0.020325203252032523
10s,1236,0,2020-09-14,6.0,0.48543689320388345,0.029126213592233007
10s,1244,0,2020-09-15,8.0,0.6430868167202572,0.05144694533762058
10s,1247,0,2020-09-16,3.0,0.24057738572574178,0.0072173215717722524
10s,1259,0,2020-09-18,12.0,0.9531374106433679,0.11437648927720413
10s,1264,0,2020-09-19,5.0,0.39556962025316456,0.019778481012658226
10s,1264,0,2020-09-20,0.0,0.0,0.0
10s,1272,0,2020-09-21,8.0,0.628930817610063,0.05031446540880504
10s,1274,0,2020-09-22,2.0,0.15698587127158556,0.0031397174254317113
10s,1278,0,2020-09-23,4.0,0.3129890453834116,0.012519561815336464
10s,1282,0,2020-09-24,4.0,0.31201248049922,0.0124804992199688
10s,1285,0,2020-09-25,3.0,0.23346303501945526,0.007003891050583657
10s,1291,0,2020-09-26,6.0,0.46475600309837334,0.027885360185902403
10s,1295,0,2020-09-27,4.0,0.3088803088803089,0.012355212355212355
10s,1299,0,2020-09-28,4.0,0.30792917628945343,0.012317167051578138
10s,1301,0,2020-09-29,2.0,0.15372790161414296,0.0030745580322828594
10s,1306,0,2020-09-30,5.0,0.38284839203675347,0.01914241960183767
10s,1310,0,2020-10-01,4.0,0.3053435114503817,0.012213740458015267
10s,1316,0,2020-10-02,6.0,0.4559270516717325,0.027355623100303948
10s,1317,0,2020-10-03,1.0,0.07593014426727411,0.0007593014426727411
10s,1321,0,2020-10-04,4.0,0.3028009084027252,0.012112036336109008
10s,1324,0,2020-10-05,3.0,0.22658610271903326,0.0067975830815709985
10s,1332,0,2020-10-06,8.0,0.6006006006006006,0.04804804804804805
10s,1334,0,2020-10-07,2.0,0.14992503748125938,0.0029985007496251877
10s,1353,0,2020-10-10,19.0,1.4042867701404287,0.2668144863266814
10s,1353,0,2020-10-11,0.0,0.0,0.0
10s,1362,0,2020-10-13,9.0,0.6607929515418502,0.059471365638766524
10s,1369,0,2020-10-14,7.0,0.5113221329437546,0.03579254930606282
10s,1372,0,2020-10-15,3.0,0.21865889212827988,0.006559766763848396
10s,1374,0,2020-10-16,2.0,0.1455604075691412,0.002911208151382824
10s,1380,0,2020-10-18,6.0,0.43478260869565216,0.026086956521739132
10s,1383,0,2020-10-19,3.0,0.21691973969631237,0.006507592190889371
10s,1386,0,2020-10-20,3.0,0.21645021645021645,0.006493506493506493
10s,1390,0,2020-10-21,4.0,0.28776978417266186,0.011510791366906475
10s,1392,0,2020-10-22,2.0,0.14367816091954022,0.0028735632183908046
10s,1403,0,2020-10-23,11.0,0.7840342124019958,0.08624376336421953
10s,1410,0,2020-10-24,7.0,0.4964539007092199,0.03475177304964539
10s,1417,0,2020-10-25,7.0,0.4940014114326041,0.03458009880028229
10s,1422,0,2020-10-26,5.0,0.35161744022503516,0.017580872011251757
10s,1429,0,2020-10-27,7.0,0.489853044086774,0.03428971308607418
10s,1435,0,2020-10-28,6.0,0.4181184668989547,0.02508710801393728
10s,1443,0,2020-10-29,8.0,0.5544005544005544,0.044352044352044345
10s,1452,0,2020-10-30,9.0,0.6198347107438017,0.05578512396694215
10s,1457,0,2020-10-31,5.0,0.34317089910775567,0.01715854495538778
10s,1480,0,2020-11-02,23.0,1.5540540540540542,0.3574324324324325
10s,1485,0,2020-11-03,5.0,0.33670033670033667,0.016835016835016835
10s,1488,0,2020-11-04,3.0,0.20161290322580644,0.0060483870967741925
10s,1496,0,2020-11-05,8.0,0.53475935828877,0.042780748663101595
10s,1503,0,2020-11-06,7.0,0.4657351962741184,0.03260146373918829
10s,1503,0,2020-11-06,0.0,0.0,0.0
10s,1512,0,2020-11-08,9.0,0.5952380952380952,0.05357142857142857
10s,1518,0,2020-11-09,6.0,0.3952569169960474,0.023715415019762848
10s,1527,0,2020-11-10,9.0,0.5893909626719057,0.05304518664047151
10s,1532,0,2020-11-11,5.0,0.3263707571801566,0.01631853785900783
10s,1545,0,2020-11-12,13.0,0.8414239482200648,0.10938511326860842
10s,1554,0,2020-11-13,9.0,0.5791505791505791,0.052123552123552123
10s,1593,0,2020-11-16,39.0,2.4482109227871938,0.9548022598870055
10s,1605,0,2020-11-17,12.0,0.7476635514018692,0.0897196261682243
10s,1621,0,2020-11-18,16.0,0.987045033929673,0.1579272054287477
10s,1664,0,2020-11-19,43.0,2.5841346153846154,1.1111778846153846
10s,1699,0,2020-11-20,35.0,2.0600353148911124,0.7210123602118894
10s,1735,0,2020-11-21,36.0,2.07492795389049,0.7469740634005764
10s,1755,0,2020-11-22,20.0,1.1396011396011396,0.22792022792022792
10s,1776,0,2020-11-23,21.0,1.1824324324324325,0.2483108108108108
10s,1794,0,2020-11-24,18.0,1.0033444816053512,0.1806020066889632
10s,1825,0,2020-11-25,31.0,1.6986301369863015,0.5265753424657534
10s,1882,0,2020-11-26,57.0,3.028692879914984,1.7263549415515407
10s,1922,0,2020-11-27,40.0,2.081165452653486,0.8324661810613945
10s,1959,0,2020-11-28,37.0,1.8887187340479834,0.6988259315977539
10s,1996,0,2020-11-29,37.0,1.8537074148296595,0.685871743486974
10s,2050,0,2020-11-30,54.0,2.6341463414634148,1.422439024390244
10s,2097,0,2020-12-01,47.0,2.2412970910824987,1.0534096328087745
10s,2140,0,2020-12-02,43.0,2.0093457943925235,0.8640186915887851
10s,2181,0,2020-12-03,41.0,1.8798716185236128,0.7707473635946813
10s,2227,0,2020-12-04,46.0,2.0655590480467,0.9501571621014819
10s,2279,0,2020-12-05,52.0,2.2817025010969725,1.1864853005704257
10s,2340,0,2020-12-07,61.0,2.606837606837607,1.5901709401709403
