gender,total_cases,death_cases,current_date,active_cases,re_rate,re_cases
female,5881,80,2020-04-02,0,0,0
female,6193,91,2020-04-07,312,5.037946068,15.71839173
female,6221,94,2020-04-08,28,0.45008841,0.126024755
female,6221,94,2020-04-08,0,0,0
female,6221,94,2020-04-08,0,0,0
female,6221,94,2020-04-08,0,0,0
female,6221,94,2020-04-08,0,0,0
female,6238,97,2020-04-09,17,0.272523245,0.046328952
female,6250,99,2020-04-10,12,0.192,0.02304
female,6265,100,2020-04-11,15,0.239425379,0.035913807
female,6283,101,2020-04-12,18,0.286487347,0.051567722
female,6294,102,2020-04-13,11,0.174769622,0.019224658
female,6308,106,2020-04-14,14,0.221940393,0.031071655
female,6325,107,2020-04-15,17,0.268774704,0.0456917
female,6341,107,2020-04-16,16,0.252326132,0.040372181
female,6341,107,2020-04-16,0,0,0
female,6349,108,2020-04-17,8,0.126004095,0.010080328
female,6360,108,2020-04-18,11,0.172955975,0.019025157
female,6364,110,2020-04-19,4,0.062853551,0.002514142
female,6364,110,2020-04-19,0,0,0
female,6372,111,2020-04-20,8,0.125549278,0.010043942
female,6375,112,2020-04-21,3,0.047058824,0.001411765
female,6380,112,2020-04-22,5,0.078369906,0.003918495
female,6384,113,2020-04-23,4,0.062656642,0.002506266
female,6385,113,2020-04-24,1,0.015661707,0.000156617
female,6391,113,2020-04-25,6,0.093882022,0.005632921
female,6395,115,2020-04-26,4,0.062548866,0.002501955
female,6401,116,2020-04-27,6,0.093735354,0.005624121
female,6408,116,2020-04-28,7,0.109238452,0.007646692
female,6413,117,2020-04-29,5,0.07796663,0.003898332
female,6413,117,2020-04-30,0,0,0
female,6418,118,2020-05-01,5,0.07790589,0.003895294
female,6418,120,2020-05-02,0,0,0
female,6424,120,2020-05-03,6,0.093399751,0.005603985
female,6426,121,2020-05-04,2,0.031123561,0.000622471
female,6427,123,2020-05-05,1,0.015559359,0.000155594
female,6427,123,2020-05-06,0,0,0
female,6428,123,2020-05-07,1,0.015556938,0.000155569
female,6433,123,2020-05-08,5,0.077724234,0.003886212
female,6434,123,2020-05-09,1,0.015542431,0.000155424
female,6444,123,2020-05-10,10,0.155183116,0.015518312
female,6448,123,2020-05-11,4,0.062034739,0.00248139
female,6455,125,2020-05-12,7,0.108443067,0.007591015
female,6463,125,2020-05-13,8,0.123781526,0.009902522
female,6475,125,2020-05-14,12,0.185328185,0.022239382
female,6486,125,2020-05-15,11,0.169596053,0.018655566
female,6493,126,2020-05-16,7,0.107808409,0.007546589
female,6501,126,2020-05-17,8,0.123057991,0.009844639
female,6505,126,2020-05-18,4,0.061491161,0.002459646
female,6509,126,2020-05-19,4,0.061453372,0.002458135
female,6518,126,2020-05-20,9,0.138079165,0.012427125
female,6521,126,2020-05-21,3,0.046005214,0.001380156
female,6537,126,2020-05-23,16,0.244760594,0.039161695
female,6547,126,2020-05-24,10,0.152741714,0.015274171
female,6555,126,2020-05-25,8,0.122044241,0.009763539
female,6561,127,2020-05-26,6,0.091449474,0.005486968
female,6585,127,2020-05-27,24,0.364464692,0.087471526
female,6617,127,2020-05-28,32,0.483602841,0.154752909
female,6643,127,2020-05-29,26,0.391389432,0.101761252
female,6661,127,2020-05-30,18,0.270229695,0.048641345
female,6673,127,2020-05-31,12,0.179829162,0.021579499
female,6712,128,2020-06-02,39,0.581048868,0.226609058
female,6738,128,2020-06-03,26,0.385871178,0.100326506
female,6757,128,2020-06-04,19,0.281189877,0.053426077
female,6775,128,2020-06-05,18,0.265682657,0.047822878
female,6799,128,2020-06-06,24,0.352993087,0.084718341
female,6826,128,2020-06-07,27,0.39554644,0.106797539
female,6852,128,2020-06-08,26,0.379451255,0.098657326
female,6872,128,2020-06-09,20,0.291036088,0.058207218
female,6900,129,2020-06-10,28,0.405797101,0.113623188
female,6917,129,2020-06-11,17,0.245771288,0.041781119
female,6917,129,2020-06-12,0,0,0
female,6970,130,2020-06-13,53,0.760401722,0.403012912
female,6988,130,2020-06-14,18,0.25758443,0.046365197
female,7017,130,2020-06-16,29,0.413282029,0.119851789
female,7042,130,2020-06-17,25,0.35501278,0.088753195
female,7076,130,2020-06-18,34,0.480497456,0.163369135
female,7100,130,2020-06-19,24,0.338028169,0.081126761
female,7128,130,2020-06-20,28,0.392817059,0.109988777
female,7151,130,2020-06-21,23,0.321633338,0.073975668
female,7159,130,2020-06-22,8,0.111747451,0.008939796
female,7170,151,2020-06-23,11,0.153417015,0.016875872
female,7190,131,2020-06-24,20,0.278164117,0.055632823
female,7203,131,2020-06-25,13,0.180480355,0.023462446
female,7218,131,2020-06-26,15,0.207813799,0.03117207
female,7241,131,2020-06-27,23,0.317635686,0.073056208
female,7265,131,2020-06-28,24,0.330350998,0.07928424
female,7287,131,2020-06-29,22,0.301907507,0.066419651
female,7305,131,2020-06-30,18,0.246406571,0.044353183
female,7305,131,2020-07-01,0,0,0
female,7349,131,2020-07-02,44,0.598720914,0.263437202
female,7380,131,2020-07-03,31,0.420054201,0.130216802
female,7405,132,2020-07-04,25,0.337609723,0.084402431
female,7434,132,2020-07-05,29,0.390099543,0.113128867
female,7455,133,2020-07-06,21,0.281690141,0.05915493
female,7478,133,2020-07-07,23,0.307568869,0.07074084
female,7506,133,2020-07-08,28,0.373034905,0.104449774
female,7527,134,2020-07-09,21,0.278995616,0.058589079
female,7536,135,2020-07-10,9,0.119426752,0.010748408
female,7549,135,2020-07-11,13,0.17220824,0.022387071
female,7561,136,2020-07-12,12,0.158709165,0.0190451
female,7584,136,2020-07-13,23,0.303270042,0.06975211
female,7601,136,2020-07-14,17,0.223654782,0.038021313
female,7607,136,2020-07-15,6,0.078874721,0.004732483
female,7601,137,2020-07-16,-6,-0.078936982,0.004736219
female,7646,139,2020-07-17,45,0.588543029,0.264844363
female,7662,139,2020-07-18,16,0.208822762,0.033411642
female,7675,140,2020-07-19,13,0.169381107,0.022019544
female,7682,140,2020-07-20,7,0.091122104,0.006378547
female,7702,140,2020-07-21,20,0.259672812,0.051934562
female,7726,140,2020-07-22,24,0.310639399,0.074553456
female,7746,140,2020-07-23,20,0.258197779,0.051639556
female,7764,140,2020-07-24,18,0.231839258,0.041731066
female,7781,140,2020-07-25,17,0.218480915,0.037141756
female,7790,140,2020-07-26,9,0.115532734,0.010397946
female,7803,141,2020-07-27,13,0.166602589,0.021658337
female,7809,141,2020-07-28,6,0.076834422,0.004610065
female,7825,141,2020-07-29,16,0.204472843,0.032715655
female,7830,141,2020-07-30,5,0.06385696,0.003192848
female,7842,141,2020-07-31,12,0.153022188,0.018362663
female,7850,141,2020-08-01,8,0.101910828,0.008152866
female,7859,94,2020-08-02,9,0.114518387,0.010306655
female,7867,141,2020-08-03,8,0.101690606,0.008135249
female,7878,141,2020-08-04,11,0.139629348,0.015359228
female,7888,142,2020-08-05,10,0.126774848,0.012677485
female,7897,142,2020-08-06,9,0.113967329,0.01025706
female,7904,143,2020-08-07,7,0.088562753,0.006199393
female,7924,143,2020-08-08,20,0.252397779,0.050479556
female,7943,143,2020-08-09,19,0.239204331,0.045448823
female,7957,143,2020-08-10,14,0.175945708,0.024632399
female,7971,143,2020-08-11,14,0.175636683,0.024589136
female,7991,143,2020-08-12,20,0.250281567,0.050056313
female,8016,143,2020-08-13,25,0.311876248,0.077969062
female,8068,143,2020-08-14,52,0.644521567,0.335151215
female,8164,143,2020-08-15,96,1.17589417,1.128858403
female,8341,143,2020-08-16,177,2.122047716,3.756024457
female,8463,143,2020-08-17,122,1.441569184,1.758714404
female,8619,143,2020-08-18,156,1.809954751,2.823529412
female,8807,143,2020-08-19,188,2.134665607,4.013171341
