city_name,date,confirmed_cases,death_cases
Gangwon,2020-03-01,0.0,0.0
Gangwon,2020-03-04,21.0,0.0
Gangwon,2020-03-05,23.0,0.0
Gangwon,2020-03-06,25.0,0.0
Gangwon,2020-03-07,26.0,1.0
Gangwon,2020-03-08,27.0,1.0
Gangwon,2020-03-09,28.0,1.0
Gangwon,2020-03-10,28.0,1.0
Gangwon,2020-03-11,29.0,1.0
Gangwon,2020-03-12,29.0,1.0
Gangwon,2020-03-13,29.0,1.0
Gangwon,2020-03-14,29.0,1.0
Gangwon,2020-03-15,29.0,1.0
Gangwon,2020-03-16,29.0,1.0
Gangwon,2020-03-17,29.0,1.0
Gangwon,2020-03-18,30.0,1.0
Gangwon,2020-03-19,30.0,1.0
Gangwon,2020-03-20,30.0,1.0
Gangwon,2020-03-21,30.0,1.0
Gangwon,2020-03-22,30.0,1.0
Gangwon,2020-03-23,30.0,1.0
Gangwon,2020-03-24,30.0,1.0
Gangwon,2020-03-25,31.0,1.0
Gangwon,2020-03-26,31.0,1.0
Gangwon,2020-03-27,31.0,1.0
Gangwon,2020-03-28,32.0,1.0
Gangwon,2020-03-29,34.0,1.0
Gangwon,2020-03-30,36.0,1.0
Gangwon,2020-03-31,36.0,1.0
Gangwon,2020-04-01,38.0,1.0
Gangwon,2020-04-02,39.0,1.0
Gangwon,2020-04-03,41.0,1.0
Gangwon,2020-04-04,42.0,1.0
Gangwon,2020-04-05,45.0,1.0
Gangwon,2020-04-06,45.0,1.0
Gangwon,2020-04-07,47.0,1.0
Gangwon,2020-04-08,98.0,2.0
Gangwon,2020-04-09,147.0,3.0
Gangwon,2020-04-10,98.0,2.0
Gangwon,2020-04-11,49.0,1.0
Gangwon,2020-04-12,52.0,1.0
Gangwon,2020-04-13,49.0,1.0
Gangwon,2020-04-14,49.0,1.0
Gangwon,2020-04-15,51.0,1.0
Gangwon,2020-04-16,104.0,2.0
Gangwon,2020-04-17,52.0,1.0
Gangwon,2020-04-18,53.0,1.0
Gangwon,2020-04-19,53.0,2.0
Gangwon,2020-04-20,53.0,2.0
Gangwon,2020-04-21,53.0,2.0
Gangwon,2020-04-22,53.0,2.0
Gangwon,2020-04-23,53.0,2.0
Gangwon,2020-04-24,53.0,2.0
Gangwon,2020-04-25,53.0,2.0
Gangwon,2020-04-26,53.0,2.0
Gangwon,2020-04-27,53.0,2.0
Gangwon,2020-04-28,53.0,2.0
Gangwon,2020-04-29,53.0,2.0
Gangwon,2020-04-30,53.0,2.0
Gangwon,2020-05-01,53.0,2.0
Gangwon,2020-05-02,53.0,2.0
Gangwon,2020-05-03,53.0,2.0
Gangwon,2020-05-04,53.0,2.0
Gangwon,2020-05-05,53.0,2.0
Gangwon,2020-05-06,53.0,2.0
Gangwon,2020-05-07,53.0,2.0
Gangwon,2020-05-08,53.0,2.0
Gangwon,2020-05-09,53.0,2.0
Gangwon,2020-05-10,53.0,2.0
Gangwon,2020-05-11,54.0,2.0
Gangwon,2020-05-12,54.0,2.0
Gangwon,2020-05-13,54.0,2.0
Gangwon,2020-05-14,55.0,2.0
Gangwon,2020-05-15,55.0,2.0
Gangwon,2020-05-16,55.0,2.0
Gangwon,2020-05-17,55.0,2.0
Gangwon,2020-05-18,55.0,2.0
Gangwon,2020-05-19,55.0,2.0
Gangwon,2020-05-20,55.0,2.0
Gangwon,2020-05-21,55.0,2.0
Gangwon,2020-05-22,55.0,2.0
Gangwon,2020-05-23,55.0,2.0
Gangwon,2020-05-24,56.0,2.0
Gangwon,2020-05-25,56.0,2.0
Gangwon,2020-05-26,56.0,3.0
Gangwon,2020-05-27,56.0,3.0
Gangwon,2020-05-28,56.0,3.0
Gangwon,2020-05-29,56.0,3.0
Gangwon,2020-05-30,57.0,3.0
Gangwon,2020-05-31,57.0,3.0
Gangwon,2020-06-01,57.0,3.0
Gangwon,2020-06-02,57.0,3.0
Gangwon,2020-06-03,57.0,3.0
Gangwon,2020-06-04,57.0,3.0
Gangwon,2020-06-05,115.0,6.0
Gangwon,2020-06-07,58.0,3.0
Gangwon,2020-06-08,58.0,3.0
Gangwon,2020-06-09,58.0,3.0
Gangwon,2020-06-10,59.0,3.0
Gangwon,2020-06-11,59.0,3.0
Gangwon,2020-06-12,59.0,3.0
Gangwon,2020-06-13,59.0,3.0
Gangwon,2020-06-14,60.0,3.0
Gangwon,2020-06-15,60.0,3.0
Gangwon,2020-06-16,60.0,3.0
Gangwon,2020-06-17,60.0,3.0
Gangwon,2020-06-18,60.0,3.0
Gangwon,2020-06-19,60.0,3.0
Gangwon,2020-06-20,60.0,3.0
Gangwon,2020-06-21,62.0,3.0
Gangwon,2020-06-22,62.0,3.0
Gangwon,2020-06-23,62.0,3.0
Gangwon,2020-06-24,63.0,3.0
Gangwon,2020-06-25,63.0,3.0
Gangwon,2020-06-26,64.0,3.0
Gangwon,2020-06-27,128.0,6.0
Gangwon,2020-06-28,64.0,3.0
Gangwon,2020-06-29,64.0,3.0
Gangwon,2020-06-30,65.0,3.0
Gangwon,2020-07-01,65.0,3.0
Gangwon,2020-07-02,65.0,3.0
Gangwon,2020-07-03,65.0,3.0
Gangwon,2020-07-04,65.0,3.0
Gangwon,2020-07-05,66.0,3.0
Gangwon,2020-07-06,67.0,3.0
Gangwon,2020-07-07,67.0,3.0
Gangwon,2020-07-08,67.0,3.0
Gangwon,2020-07-09,67.0,3.0
Gangwon,2020-07-10,67.0,3.0
Gangwon,2020-07-11,67.0,3.0
Gangwon,2020-07-12,67.0,3.0
Gangwon,2020-07-13,69.0,3.0
Gangwon,2020-07-14,69.0,3.0
Gangwon,2020-07-15,69.0,3.0
Gangwon,2020-07-16,72.0,3.0
Gangwon,2020-07-17,72.0,3.0
Gangwon,2020-07-18,72.0,3.0
Gangwon,2020-07-19,72.0,3.0
Gangwon,2020-07-20,72.0,3.0
Gangwon,2020-07-21,72.0,3.0
Gangwon,2020-07-22,72.0,3.0
Gangwon,2020-07-23,72.0,3.0
Gangwon,2020-07-24,72.0,3.0
Gangwon,2020-07-25,72.0,3.0
Gangwon,2020-07-26,72.0,3.0
Gangwon,2020-07-27,72.0,3.0
Gangwon,2020-07-28,72.0,3.0
Gangwon,2020-07-29,72.0,3.0
Gangwon,2020-07-30,72.0,3.0
Gangwon,2020-07-31,74.0,3.0
Gangwon,2020-08-01,74.0,3.0
Gangwon,2020-08-02,74.0,3.0
Gangwon,2020-08-03,74.0,3.0
Gangwon,2020-08-04,74.0,3.0
Gangwon,2020-08-05,75.0,3.0
Gangwon,2020-08-06,154.0,6.0
Gangwon,2020-08-07,77.0,3.0
Gangwon,2020-08-08,77.0,3.0
Gangwon,2020-08-09,77.0,3.0
Gangwon,2020-08-10,77.0,3.0
Gangwon,2020-08-11,77.0,3.0
Gangwon,2020-08-12,77.0,3.0
Gangwon,2020-08-13,77.0,3.0
Gangwon,2020-08-14,78.0,3.0
Gangwon,2020-08-15,81.0,3.0
Gangwon,2020-08-16,81.0,3.0
Gangwon,2020-08-17,82.0,3.0
Gangwon,2020-08-18,84.0,3.0
Gangwon,2020-08-19,90.0,3.0
Gangwon,2020-08-20,95.0,3.0
Gangwon,2020-08-21,104.0,3.0
Gangwon,2020-08-22,120.0,3.0
Gangwon,2020-08-23,135.0,3.0
Gangwon,2020-08-24,141.0,3.0
Gangwon,2020-08-25,149.0,3.0
Gangwon,2020-08-26,167.0,3.0
Gangwon,2020-08-27,181.0,3.0
Gangwon,2020-08-28,184.0,3.0
Gangwon,2020-08-29,184.0,3.0
Gangwon,2020-08-30,186.0,3.0
Gangwon,2020-08-31,189.0,3.0
Gangwon,2020-09-01,193.0,3.0
Gangwon,2020-09-02,195.0,3.0
Gangwon,2020-09-03,199.0,3.0
Gangwon,2020-09-04,202.0,3.0
Gangwon,2020-09-05,205.0,3.0
Gangwon,2020-09-06,210.0,3.0
