age,confirmed_cases,death_cases,date,date_dt
under_10s,3124756,37.0,2023-04-20,2023-04-20
10s,3861327,23.0,2023-04-20,2023-04-20
20s,4522818,80.0,2023-04-20,2023-04-20
30s,4547212,160.0,2023-04-20,2023-04-20
40s,4726618,469.0,2023-04-20,2023-04-20
50s,4054432,1408.0,2023-04-20,2023-04-20
60s,3395022,3912.0,2023-04-20,2023-04-20
70s,1742796,7802.0,2023-04-20,2023-04-20
over_80s,1064882,20510.0,2023-04-20,2023-04-20
under_10s,3124146,37.0,2023-04-19,2023-04-19
10s,3859949,23.0,2023-04-19,2023-04-19
20s,4520820,80.0,2023-04-19,2023-04-19
30s,4544888,160.0,2023-04-19,2023-04-19
40s,4724587,469.0,2023-04-19,2023-04-19
50s,4052506,1408.0,2023-04-19,2023-04-19
60s,3393078,3912.0,2023-04-19,2023-04-19
70s,1741685,7800.0,2023-04-19,2023-04-19
over_80s,1064110,20503.0,2023-04-19,2023-04-19
under_10s,3123452,37.0,2023-04-18,2023-04-18
10s,3858310,23.0,2023-04-18,2023-04-18
20s,4518361,80.0,2023-04-18,2023-04-18
30s,4542199,160.0,2023-04-18,2023-04-18
40s,4722238,469.0,2023-04-18,2023-04-18
50s,4050304,1408.0,2023-04-18,2023-04-18
60s,3390947,3912.0,2023-04-18,2023-04-18
70s,1740320,7798.0,2023-04-18,2023-04-18
over_80s,1063130,20499.0,2023-04-18,2023-04-18
under_10s,3122812,37.0,2023-04-17,2023-04-17
10s,3856757,23.0,2023-04-17,2023-04-17
20s,4516145,80.0,2023-04-17,2023-04-17
30s,4539540,160.0,2023-04-17,2023-04-17
40s,4719766,469.0,2023-04-17,2023-04-17
50s,4048311,1406.0,2023-04-17,2023-04-17
60s,3389184,3911.0,2023-04-17,2023-04-17
70s,1739145,7796.0,2023-04-17,2023-04-17
over_80s,1062428,20494.0,2023-04-17,2023-04-17
under_10s,3122074,37.0,2023-04-15,2023-04-15
10s,3855268,23.0,2023-04-15,2023-04-15
20s,4514014,80.0,2023-04-15,2023-04-15
30s,4537070,160.0,2023-04-15,2023-04-15
40s,4717548,469.0,2023-04-15,2023-04-15
50s,4046266,1406.0,2023-04-15,2023-04-15
60s,3387189,3911.0,2023-04-15,2023-04-15
70s,1737924,7794.0,2023-04-15,2023-04-15
over_80s,1061601,20488.0,2023-04-15,2023-04-15
under_10s,3121607,37.0,2023-04-14,2023-04-14
10s,3854131,23.0,2023-04-14,2023-04-14
20s,4512459,80.0,2023-04-14,2023-04-14
30s,4535379,160.0,2023-04-14,2023-04-14
40s,4715927,469.0,2023-04-14,2023-04-14
50s,4044737,1406.0,2023-04-14,2023-04-14
60s,3385629,3911.0,2023-04-14,2023-04-14
70s,1736931,7794.0,2023-04-14,2023-04-14
over_80s,1060892,20486.0,2023-04-14,2023-04-14
under_10s,3121080,37.0,2023-04-13,2023-04-13
10s,3852976,23.0,2023-04-13,2023-04-13
20s,4510732,80.0,2023-04-13,2023-04-13
30s,4533548,160.0,2023-04-13,2023-04-13
40s,4714230,469.0,2023-04-13,2023-04-13
50s,4043267,1406.0,2023-04-13,2023-04-13
60s,3384001,3910.0,2023-04-13,2023-04-13
70s,1735930,7794.0,2023-04-13,2023-04-13
over_80s,1060262,20482.0,2023-04-13,2023-04-13
under_10s,3120607,37.0,2023-04-12,2023-04-12
10s,3851616,23.0,2023-04-12,2023-04-12
20s,4508958,80.0,2023-04-12,2023-04-12
30s,4531730,160.0,2023-04-12,2023-04-12
40s,4712545,468.0,2023-04-12,2023-04-12
50s,4041770,1406.0,2023-04-12,2023-04-12
60s,3382508,3910.0,2023-04-12,2023-04-12
70s,1735033,7793.0,2023-04-12,2023-04-12
over_80s,1059663,20479.0,2023-04-12,2023-04-12
under_10s,3120021,37.0,2023-04-11,2023-04-11
10s,3850041,23.0,2023-04-11,2023-04-11
20s,4506753,80.0,2023-04-11,2023-04-11
30s,4529527,160.0,2023-04-11,2023-04-11
40s,4710522,468.0,2023-04-11,2023-04-11
50s,4040014,1406.0,2023-04-11,2023-04-11
60s,3380780,3906.0,2023-04-11,2023-04-11
70s,1733936,7788.0,2023-04-11,2023-04-11
over_80s,1058910,20474.0,2023-04-11,2023-04-11
under_10s,3119483,37.0,2023-04-10,2023-04-10
10s,3848615,23.0,2023-04-10,2023-04-10
20s,4504874,80.0,2023-04-10,2023-04-10
30s,4527434,160.0,2023-04-10,2023-04-10
40s,4708570,468.0,2023-04-10,2023-04-10
50s,4038361,1405.0,2023-04-10,2023-04-10
60s,3379339,3902.0,2023-04-10,2023-04-10
70s,1732992,7787.0,2023-04-10,2023-04-10
over_80s,1058392,20470.0,2023-04-10,2023-04-10
under_10s,3118823,37.0,2023-04-08,2023-04-08
10s,3847138,23.0,2023-04-08,2023-04-08
20s,4502892,80.0,2023-04-08,2023-04-08
30s,4525366,160.0,2023-04-08,2023-04-08
40s,4706597,468.0,2023-04-08,2023-04-08
50s,4036672,1405.0,2023-04-08,2023-04-08
60s,3377529,3901.0,2023-04-08,2023-04-08
70s,1731857,7783.0,2023-04-08,2023-04-08
over_80s,1057628,20465.0,2023-04-08,2023-04-08
under_10s,3118404,37.0,2023-04-07,2023-04-07
10s,3846005,23.0,2023-04-07,2023-04-07
20s,4501494,80.0,2023-04-07,2023-04-07
30s,4523818,160.0,2023-04-07,2023-04-07
40s,4705161,468.0,2023-04-07,2023-04-07
50s,4035399,1405.0,2023-04-07,2023-04-07
60s,3376196,3900.0,2023-04-07,2023-04-07
70s,1731020,7782.0,2023-04-07,2023-04-07
over_80s,1057062,20463.0,2023-04-07,2023-04-07
under_10s,3117907,37.0,2023-04-06,2023-04-06
10s,3844819,23.0,2023-04-06,2023-04-06
20s,4499757,80.0,2023-04-06,2023-04-06
30s,4522062,160.0,2023-04-06,2023-04-06
40s,4703708,468.0,2023-04-06,2023-04-06
50s,4033971,1404.0,2023-04-06,2023-04-06
60s,3374863,3900.0,2023-04-06,2023-04-06
70s,1730219,7780.0,2023-04-06,2023-04-06
over_80s,1056518,20457.0,2023-04-06,2023-04-06
under_10s,3117349,37.0,2023-04-05,2023-04-05
10s,3843400,23.0,2023-04-05,2023-04-05
20s,4497739,80.0,2023-04-05,2023-04-05
30s,4520138,160.0,2023-04-05,2023-04-05
40s,4702009,467.0,2023-04-05,2023-04-05
50s,4032361,1404.0,2023-04-05,2023-04-05
60s,3373447,3897.0,2023-04-05,2023-04-05
70s,1729358,7780.0,2023-04-05,2023-04-05
over_80s,1055939,20448.0,2023-04-05,2023-04-05
under_10s,3116644,37.0,2023-04-04,2023-04-04
10s,3841541,23.0,2023-04-04,2023-04-04
20s,4495383,80.0,2023-04-04,2023-04-04
30s,4517814,160.0,2023-04-04,2023-04-04
40s,4699995,466.0,2023-04-04,2023-04-04
50s,4030490,1404.0,2023-04-04,2023-04-04
60s,3371849,3897.0,2023-04-04,2023-04-04
70s,1728359,7777.0,2023-04-04,2023-04-04
